BU,Super Category,Category,SubCategory,Vertical,Source,Description Type,Revision Date,Target
Auto,AutoAccessory,AutoAccessory,AutoAccessory,AutoAccessory,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikeAccessory,BikeAccessory,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikeCare,BikeCare,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikeCare,BikeWashingCloth,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikeCare,BikeWheelTireCleaner,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikeCare,BikeDentRemover,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikeCare,TwoWheelerCover,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikeEssential,BikeEssential,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikeEssential,HelmetLock,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikerAccessory,HelmetAndGlove,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikerAccessory,BikerAccessory,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikerAccessory,ArmSleeve,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikeSparePart,BikeSparePart,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikeSparePart,BikeSeatCover,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikeSparePart,BikeHandleGrip,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikeSparePart,HandleBar,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,BikeAccessory,BikeSparePart,BikeClutchLever,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,CarAccessory,CarAccessory,CarAccessory,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,CarAccessory,CarAudioAndVideo,CarAudioAndVideo,Inhouse,Regular Description,2015-01-01,12
Auto,AutoAccessory,CarAccessory,CarAudioAndVideo,CarMediaPlayer,Inhouse,Regular Description,2015-01-01,12
