FSN,WriterID,Article Date,Source,Type,BU,Super-Category,Category,Sub-Category,Vertical,Brand,Word Count,Upload Link,Reference Link,Rewrite Ticket
LAND8EJHHSDXQWQN,72891,2015-01-02,Inhouse,Rich Product Description,,MT,Mobile,,CordlessLandlinePhone,Panasonic,400,http://www.flipkart.com/search?q=LAND8EJHHSDXQWQN,Fk Site,No
LAND98MRZTBUQGGH,72891,2015-01-02,Inhouse,Rich Product Description,,MT,Mobile,,CordlessLandlinePhone,Gigaset,400,http://www.flipkart.com/search?q=LAND8EJHHSDXQWQN,Fk Site,No
LANDG65GBU5DFQCC,72891,2015-01-02,Inhouse,Rich Product Description,,MT,Mobile,,CordlessLandlinePhone,Panasonic,400,http://www.flipkart.com/search?q=LAND8EJHHSDXQWQN,Fk Site,No
LANDHDUXZUBSZ2ZN,72891,2015-01-02,Inhouse,Rich Product Description,,MT,Mobile,,CordlessLandlinePhone,Beetel,400,http://www.flipkart.com/search?q=LAND8EJHHSDXQWQN,Fk Site,No
LMVDU8WUGYH4ZEFX,72891,2015-01-02,Inhouse,Rich Product Description,,CE,HomeApplianceSmall,,Lawnmower,Falcon,400,http://www.flipkart.com/search?q=LMVDU8WUGYH4ZEFX,Fk Site,No
CMKDPG23Y6KZDXGN,60877,2015-01-02,Inhouse,Rich Product Description,,CE,HomeApplianceSmall,,CoffeeMaker,Bajaj,400,http://www.flipkart.com/search?q=CMKDPG23Y6KZDXGN,NA,No
CMKDYCZBGNXNWEYY,60877,2015-01-02,Inhouse,Rich Product Description,,CE,HomeApplianceSmall,,CoffeeMaker,Morphy Richards,400,http://www.flipkart.com/search?q=CMKDYCZBGNXNWEYY,NA,No
CMKDU959Z8FPM9PQ,60877,2015-01-02,Inhouse,Rich Product Description,,CE,HomeApplianceSmall,,CoffeeMaker,Philips,400,http://www.flipkart.com/search?q=CMKDU959Z8FPM9PQ,NA,No
CMKDT64ENXKDZNV7,60877,2015-01-02,Inhouse,Rich Product Description,,CE,HomeApplianceSmall,,CoffeeMaker,Bajaj,400,http://www.flipkart.com/search?q=CMKDT64ENXKDZNV7,NA,No
EKTDWYT7ZCPV5QGZ,60877,2015-01-02,Inhouse,Rich Product Description,,CE,HomeApplianceSmall,,CoffeeMaker,Nova,400,http://www.flipkart.com/search?q=EKTDWYT7ZCPV5QGZ,NA,No
RCTDPESUFYGRENBG,76751,2015-01-02,Inhouse,Regular Description,,BGM,Toy,,RemoteControlToy,Maisto,106,http://www.flipkart.com/search?q=RCTDPESUFYGRENBG,NA,No
RCTDXB9REBZKNZPY,76751,2015-01-02,Inhouse,Regular Description,,BGM,Toy,,RemoteControlToy,Maisto,161,http://www.flipkart.com/search?q=RCTDXB9REBZKNZPY,NA,No
RCTDR42SPMSX2RSW,76751,2015-01-02,Inhouse,Regular Description,,BGM,Toy,,RemoteControlToy,Maisto,129,http://www.flipkart.com/search?q=RCTDR42SPMSX2RSW,NA,No
VPAE2M4SGTHXD3UG,76751,2015-01-02,Inhouse,Regular Description,,BGM,Toy,,VehiclePullAlong,Academy,136,http://www.flipkart.com/search?q=VPAE2M4SGTHXD3UG,NA,No
RCTDXAZEKTECHFZQ,76751,2015-01-02,Inhouse,Regular Description,,BGM,Toy,,RemoteControlToy,Maisto,134,http://www.flipkart.com/search?q=RCTDXAZEKTECHFZQ,NA,No
AFGE2N8YZRH2VFEQ,76751,2015-01-02,Inhouse,Regular Description,,BGM,Toy,,ActionFigure,Safari Ltd,120,http://www.flipkart.com/search?q=AFGE2N8YZRH2VFEQ,NA,No
VPADYBSCYYCRHYFM,76751,2015-01-02,Inhouse,Regular Description,,BGM,Toy,,RemoteControlToy,Maisto,100,http://www.flipkart.com/search?q=VPADYBSCYYCRHYFM,NA,No
VPADQQPCTGVFHSBX,76751,2015-01-02,Inhouse,Regular Description,,BGM,Toy,,VehiclePullAlong,Maisto,113,http://www.flipkart.com/search?q=VPADQQPCTGVFHSBX,NA,No
AFGDVNCAFNTFQPSB,76751,2015-01-02,Inhouse,Regular Description,,BGM,Toy,,ActionFigure,Safari Ltd,108,http://www.flipkart.com/search?q=AFGDVNCAFNTFQPSB,NA,No
VPADQQPC7TMZBC9Y,76751,2015-01-02,Inhouse,Regular Description,,BGM,Toy,,VehiclePullAlong,Maisto,122,http://www.flipkart.com/search?q=VPADQQPC7TMZBC9Y,NA,No
RCTDWDMSBKXEAC5S,76751,2015-01-02,Inhouse,Regular Description,,BGM,Toy,,RemoteControlToy,Maisto,125,http://www.flipkart.com/search?q=RCTDWDMSBKXEAC5S,NA,No
RCTDPESUZSXNHGJU,76751,2015-01-02,Inhouse,Regular Description,,BGM,Toy,,RemoteControlToy,Maisto,114,http://www.flipkart.com/search?q=RCTDPESUZSXNHGJU,NA,No
RCTDYYSSYYR77KDF,76751,2015-01-02,Inhouse,Regular Description,,BGM,Toy,,RemoteControlToy,Maisto,132,http://www.flipkart.com/search?q=RCTDYYSSYYR77KDF,NA,No
