WriterID,Category,Sub-Category,QAID,Article Date,WS Name,Word Count,FSN,Introduction,Product Theme,Flow of Article,Explain Features [in simple terms],Practical Application of Features,Neutral Content,USP,Priority of Features,Sentence Construction,Sub-verb agreement,Missing/ additional/ repeated words,Spelling/ Typo,Punctuation,Formatting Errors,Keyword Variation,Keyword Density,Plagiarism,Mismatch in Specs,CFM Quality,GSEO Quality,Overall Quality,Fatals Count,Non Fatals Count,Introduction,Product Theme,Flow of Article,Explain Features [in simple terms],Practical Application of Features,Neutral Content,USP,Priority of Features,Sentence Construction,Sub-verb agreement,Missing/ additional/ repeated words,Spelling/Typo,Punctuation,Formatting Errors,Keyword Variation,Keyword Density,Plagiarism,Mismatch in Specs,AuditCount
102,RPD,Entertainment Large,55502,2015-01-05,Samsung 101 cm (40) LED TV,1232,TVSD8YHYEVGZZ8AA,9.375,9.625,9.375,9.625,9.375,9.375,10,5,5,5,2.5,2.5,0,2.5,5,No,No,No,0.9567,0.9,0.9425,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
102,RPD,Entertainment Large,55502,2015-01-05,Dell Inspiron 5547 Notebook,1288,COMDZYS6X2GUZKYH,9.375,9.375,8.75,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.9417,1,0.9563,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
55863,Toys,Toy,76749,2015-01-05,Maisto Modelart - 3.5 Channel Rc Heli Wt Gyro Wt Elec. Charger(Orange  White),73,RCTDZKGYAEU5DRXC,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
55863,Toys,Toy,76749,2015-01-05,Safari Ltd Ws Dinos & Phl Apatosaurus(Multicolor),68,AFGDQCB2Q4BSKZ8T,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
55863,Toys,Toy,76749,2015-01-05,Maisto Lamborghini Murcielago LP640(Met Orange),95,VPADEDW8HZX6UR8K,9.375,9.375,9.375,9.375,9.375,9.375,10,5,2.5,5,2.5,2.5,2.5,1.25,5,No,No,No,0.95,0.85,0.925,0,2,NA,NA,NA,NA,NA,NA,NA,NA,Incorrect sentence structure,NA,NA,NA,NA,Incorrect formatting,NA,NA,NA,NA,1
55863,Toys,Toy,76749,2015-01-05,Maisto Lamborghini Murcielago(Red),76,RCTDRS9H2SEGKWKZ,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
55863,Toys,Toy,76749,2015-01-05,Bruder Land Rover Defender Pick Up,58,VPADAXZ63A9HZBYM,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
55863,Toys,Toy,76749,2015-01-05,Safari Ltd Rainforest(Multicolor),89,AFGE2N8Y4UN6R6HX,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
55863,Toys,Toy,76749,2015-01-05,Bruder Liebherr Excavator(Yellow),102,VPADAXZ6BWBNWXHV,9.625,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.9533,1,0.965,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
60877,RPD,Computer Accessory,75802,2015-01-05,ADATAAUE700-16G-CBK 16 GB USB 3.0 Utility Pendrive,216,ACCE24AZMSQURXMP,9.625,9.625,9.625,9.375,9.375,8.75,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.9517,1,0.9638,0,1,NA,NA,NA,NA,NA,Promotional/marketing language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
60877,RPD,Home Appliance Small,55502,2015-01-05,Bajaj Majesty CEX 10 Cappuccino 6 Cups Coffee Maker,207,CMKDPG23Y6KZDXGN,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,Yes,No,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
60952,RPD,P&H Care Electronics,75802,2015-01-05,Nova NHC-990 Hair Straightener(Red),182,HSTDU5Q6K4FY7J7V,10,10,10,10,9.625,9.625,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,Yes,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Product Specs not matching vendor or FK website. ,1
60952,RPD,P&H Care Electronics,75802,2015-01-05,Nova NHS-800 - Hair Straightener,182,HSTDZ966HXFTQZSB,10,10,10,9.375,9.625,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.9783,1,0.9838,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
61454,Health & Beauty,Beauty and Personal Care,54660,2015-01-05,Soulflower Festive Rose Black Diffuser Aroma Bath Set,105,CBKDP8XGPJ7HQXRZ,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,1.25,5,No,No,No,0.95,0.95,0.95,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Incorrect formatting - spacing,NA,NA,NA,NA,1
61454,Health & Beauty,Beauty and Personal Care,54660,2015-01-05,Soulflower Festive Long Jasmine Gift Set,106,CBKDP8XGVZPHMMBH,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
61454,Health & Beauty,Beauty and Personal Care,54660,2015-01-05,Soulflower Festive Tea Tree Body Milk Bath Set,100,CBKDP8XGWCZEPQ7X,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
61454,Health & Beauty,Beauty and Personal Care,54660,2015-01-05,Soulflower Festive Vanilla Saa Gift Box,86,CBKDP98XATE5UCW5,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
61454,Health & Beauty,Beauty and Personal Care,54660,2015-01-05,Soulflower Festive A For Anti Aging Hamper Set,86,CBKDP98XGSERJHJR,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
61454,Health & Beauty,Beauty and Personal Care,54660,2015-01-05,Soulflower Festive Lavender Saa Gift Box,72,CBKDP98XNHHXV9EX,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
61454,Health & Beauty,Beauty and Personal Care,54660,2015-01-05,Soulflower Festive Jasmine Saa Gift Box,70,CBKDP98XTYZBCGQ9,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
61454,Health & Beauty,Beauty and Personal Care,54660,2015-01-05,Soulflower Festive Jasmine Heart Bath Set,95,CBKDP98XYQDNBGDY,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,1.25,2.5,2.5,5,No,No,No,0.95,0.95,0.95,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 letter wrong,NA,NA,NA,NA,NA,NA,1
61904,Toys,Toy,54660,2015-01-05,Bruder John Deere 7930 Forestry Tractor,145,VPADM88PQG6YSZZU,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,2.5,1.25,2.5,2.5,2.5,5,No,No,No,0.95,0.85,0.925,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Verb does not agree with subject,Missing word,NA,NA,NA,NA,NA,NA,NA,1
61904,Toys,Toy,54660,2015-01-05,Maisto Assembly Line Power Builds - Off Road Truck,127,VPADVGGAX6PFWED8,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,1.25,2.5,2.5,5,No,No,No,0.95,0.95,0.95,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spelling Mistake,NA,NA,NA,NA,NA,NA,1
