Date,3264,3395,21031,54660,55502,55711,55863,56035,60877,60952,61454,61904,61949,62182,62487,62509,72062,72187,72891,73055,73343,73858,73957,74565,74839,75026,75027,75028,75802,76749,76750,76751,76932,77258,77584,78048,78105,78282,78468
2015-01-01,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,NA,NA,NA,NA,NA
2015-01-02,P,P,P,P,CL,P,P,CL,P,P,P,CL,CL,P,P,P,CL,P,P,P,CL,CL,P,P,P,P,P,P,CL,P,P,P,P,P,NA,NA,NA,NA,NA
2015-01-03,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA,NA,NA,NA
2015-01-04,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA,NA,NA,NA
2015-01-05,P,P,P,P,P,P,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA,NA
2015-01-06,P,P,P,CL,P,P,P,P,CL,CL,P,P,P,P,P,P,P,P,P,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-07,P,P,P,P,P,P,P,P,CL,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,CL,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-08,P,P,P,P,P,P,P,P,CL,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,CL,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-09,P,P,P,P,P,P,P,P,CL,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-10,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA,NA,NA
2015-01-11,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA,NA,NA
2015-01-12,P,P,P,P,CL,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-13,P,P,P,P,CL,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,CL,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-14,P,P,P,P,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,CL,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-15,P,P,P,P,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-16,P,P,P,CL,P,P,CL,P,P,P,ATT,P,P,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-17,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA,NA,NA
2015-01-18,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA,NA,NA
2015-01-19,P,P,P,P,P,P,CL,CL,P,CL,ATT,P,P,CL,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,CL,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-20,P,P,P,P,P,P,CL,P,P,P,ATT,P,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,CL,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-21,P,P,P,P,P,P,CL,P,P,P,ATT,P,P,P,CL,CL,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-22,P,P,P,P,P,P,P,P,CL,P,ATT,P,P,P,CL,P,CL,P,CL,P,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-23,P,P,P,P,P,P,P,P,P,P,ATT,P,P,CL,CL,P,P,P,CL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA,NA,NA
2015-01-24,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA,NA,NA
