Article Date,WriterID,Writer Email ID,Writer Name,FSN,Description Type,Source,BU,Super-Category,Category,Sub-Category,Vertical,Brand,Word Count,Upload Link,Reference Link,Rewrite Ticket
2015-01-02,72891,\N,\N,LAND8EJHHSDXQWQN,Rich Product Description,Inhouse,Electronics,Mobile,Mobile,Handset,CordlessLandlinePhone,Panasonic,400,http://www.flipkart.com/search?q=LAND8EJHHSDXQWQN,Fk Site,0
2015-01-02,72891,\N,\N,LAND98MRZTBUQGGH,Rich Product Description,Inhouse,Electronics,Mobile,Mobile,Handset,CordlessLandlinePhone,Gigaset,400,http://www.flipkart.com/search?q=LAND8EJHHSDXQWQN,Fk Site,0
2015-01-02,72891,\N,\N,LANDG65GBU5DFQCC,Rich Product Description,Inhouse,Electronics,Mobile,Mobile,Handset,CordlessLandlinePhone,Panasonic,400,http://www.flipkart.com/search?q=LAND8EJHHSDXQWQN,Fk Site,0
2015-01-02,72891,\N,\N,LANDHDUXZUBSZ2ZN,Rich Product Description,Inhouse,Electronics,Mobile,Mobile,Handset,CordlessLandlinePhone,Beetel,400,http://www.flipkart.com/search?q=LAND8EJHHSDXQWQN,Fk Site,0
2015-01-02,72891,\N,\N,LMVDU8WUGYH4ZEFX,Rich Product Description,Inhouse,HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,GardeningTool,LawnMower,Falcon,400,http://www.flipkart.com/search?q=LMVDU8WUGYH4ZEFX,Fk Site,0
2015-01-02,60877,\N,\N,CMKDPG23Y6KZDXGN,Rich Product Description,Inhouse,Electronics,SmallAppliance,HomeApplianceSmall,ApplianceSmall,CoffeeMaker,Bajaj,400,http://www.flipkart.com/search?q=CMKDPG23Y6KZDXGN,NA,0
2015-01-02,60877,\N,\N,CMKDYCZBGNXNWEYY,Rich Product Description,Inhouse,Electronics,SmallAppliance,HomeApplianceSmall,ApplianceSmall,CoffeeMaker,Morphy Richards,400,http://www.flipkart.com/search?q=CMKDYCZBGNXNWEYY,NA,0
2015-01-02,60877,\N,\N,CMKDU959Z8FPM9PQ,Rich Product Description,Inhouse,Electronics,SmallAppliance,HomeApplianceSmall,ApplianceSmall,CoffeeMaker,Philips,400,http://www.flipkart.com/search?q=CMKDU959Z8FPM9PQ,NA,0
2015-01-02,60877,\N,\N,CMKDT64ENXKDZNV7,Rich Product Description,Inhouse,Electronics,SmallAppliance,HomeApplianceSmall,ApplianceSmall,CoffeeMaker,Bajaj,400,http://www.flipkart.com/search?q=CMKDT64ENXKDZNV7,NA,0
2015-01-02,60877,\N,\N,EKTDWYT7ZCPV5QGZ,Rich Product Description,Inhouse,Electronics,SmallAppliance,HomeApplianceSmall,ApplianceSmall,CoffeeMaker,Nova,400,http://www.flipkart.com/search?q=EKTDWYT7ZCPV5QGZ,NA,0
2015-01-02,76751,\N,\N,RCTDPESUFYGRENBG,Regular Description,Inhouse,Lifestyle,Kid,Toy,RemoteControlToy,RemoteControlToy,Maisto,106,http://www.flipkart.com/search?q=RCTDPESUFYGRENBG,NA,0
2015-01-02,76751,\N,\N,RCTDXB9REBZKNZPY,Regular Description,Inhouse,Lifestyle,Kid,Toy,RemoteControlToy,RemoteControlToy,Maisto,161,http://www.flipkart.com/search?q=RCTDXB9REBZKNZPY,NA,0
2015-01-02,76751,\N,\N,RCTDR42SPMSX2RSW,Regular Description,Inhouse,Lifestyle,Kid,Toy,RemoteControlToy,RemoteControlToy,Maisto,129,http://www.flipkart.com/search?q=RCTDR42SPMSX2RSW,NA,0
2015-01-02,76751,\N,\N,VPAE2M4SGTHXD3UG,Regular Description,Inhouse,Lifestyle,Kid,Toy,VehicleActionToy,VehiclePullAlong,Academy,136,http://www.flipkart.com/search?q=VPAE2M4SGTHXD3UG,NA,0
2015-01-02,76751,\N,\N,RCTDXAZEKTECHFZQ,Regular Description,Inhouse,Lifestyle,Kid,Toy,RemoteControlToy,RemoteControlToy,Maisto,134,http://www.flipkart.com/search?q=RCTDXAZEKTECHFZQ,NA,0
2015-01-02,76751,\N,\N,AFGE2N8YZRH2VFEQ,Regular Description,Inhouse,Lifestyle,Kid,Toy,VehicleActionToy,ActionFigure,Safari Ltd,120,http://www.flipkart.com/search?q=AFGE2N8YZRH2VFEQ,NA,0
2015-01-02,76751,\N,\N,VPADYBSCYYCRHYFM,Regular Description,Inhouse,Lifestyle,Kid,Toy,RemoteControlToy,RemoteControlToy,Maisto,100,http://www.flipkart.com/search?q=VPADYBSCYYCRHYFM,NA,0
2015-01-02,76751,\N,\N,VPADQQPCTGVFHSBX,Regular Description,Inhouse,Lifestyle,Kid,Toy,VehicleActionToy,VehiclePullAlong,Maisto,113,http://www.flipkart.com/search?q=VPADQQPCTGVFHSBX,NA,0
2015-01-02,76751,\N,\N,AFGDVNCAFNTFQPSB,Regular Description,Inhouse,Lifestyle,Kid,Toy,VehicleActionToy,ActionFigure,Safari Ltd,108,http://www.flipkart.com/search?q=AFGDVNCAFNTFQPSB,NA,0
2015-01-02,76751,\N,\N,VPADQQPC7TMZBC9Y,Regular Description,Inhouse,Lifestyle,Kid,Toy,VehicleActionToy,VehiclePullAlong,Maisto,122,http://www.flipkart.com/search?q=VPADQQPC7TMZBC9Y,NA,0
2015-01-02,76751,\N,\N,RCTDWDMSBKXEAC5S,Regular Description,Inhouse,Lifestyle,Kid,Toy,RemoteControlToy,RemoteControlToy,Maisto,125,http://www.flipkart.com/search?q=RCTDWDMSBKXEAC5S,NA,0
2015-01-02,76751,\N,\N,RCTDPESUZSXNHGJU,Regular Description,Inhouse,Lifestyle,Kid,Toy,RemoteControlToy,RemoteControlToy,Maisto,114,http://www.flipkart.com/search?q=RCTDPESUZSXNHGJU,NA,0
2015-01-02,76751,\N,\N,RCTDYYSSYYR77KDF,Regular Description,Inhouse,Lifestyle,Kid,Toy,RemoteControlToy,RemoteControlToy,Maisto,132,http://www.flipkart.com/search?q=RCTDYYSSYYR77KDF,NA,0
2015-01-02,62182,\N,\N,9781437298376,Regular Description,Inhouse,FMCGAndOthers,Book,Book,Books-Fiction,Books,Kessinger Publishing,201,http://www.flipkart.com/search?q=9781437298376,NA,0
2015-01-02,62182,\N,\N,9781608863365,Regular Description,Inhouse,FMCGAndOthers,Book,Book,Books-Fiction,Books,Boom Town,203,http://www.flipkart.com/search?q=9781608863365,NA,0
2015-01-02,62182,\N,\N,9788175050358,Regular Description,Inhouse,FMCGAndOthers,Book,Book,Books-Fiction,Books,Advaita Ashrama,174,http://www.flipkart.com/search?q=9788175050358,NA,0
2015-01-02,62182,\N,\N,9788184953114,Regular Description,Inhouse,FMCGAndOthers,Book,Book,Books-Fiction,Books,Jaico,213,http://www.flipkart.com/search?q=9788184953114,NA,0
