,Actioned Date,Assigned Date,Status
0,5/11/2015,5/6/2015,CLOSED
1,5/11/2015,5/6/2015,ON HOLD
2,5/12/2015,5/6/2015,ON HOLD
3,5/11/2015,5/6/2015,CLOSED
4,5/11/2015,5/6/2015,CLOSED
5,5/12/2015,5/6/2015,CLOSED
6,5/15/2015,5/6/2015,CLOSED
7,5/11/2015,5/6/2015,CLOSED
8,5/15/2015,5/6/2015,CLOSED
9,5/11/2015,5/6/2015,CLOSED
10,5/12/2015,5/6/2015,CLOSED
11,5/12/2015,5/6/2015,ON HOLD
12,5/18/2015,5/6/2015,CLOSED
13,5/12/2015,5/6/2015,CLOSED
14,5/11/2015,5/6/2015,CLOSED
15,5/12/2015,5/6/2015,ON HOLD
16,5/12/2015,5/6/2015,CLOSED
17,5/11/2015,5/6/2015,CLOSED
18,5/11/2015,5/6/2015,CLOSED
19,5/11/2015,5/6/2015,CLOSED
20,5/12/2015,5/6/2015,CLOSED
21,5/11/2015,5/6/2015,CLOSED
22,5/12/2015,5/6/2015,CLOSED
23,5/12/2015,5/6/2015,ON HOLD
24,5/12/2015,5/6/2015,ON HOLD
25,5/12/2015,5/6/2015,ON HOLD
26,5/12/2015,5/6/2015,CLOSED
27,,5/6/2015,CLOSED
28,,5/6/2015,CLOSED
29,,5/6/2015,CLOSED
30,5/11/2015,5/6/2015,CLOSED
31,5/12/2015,5/6/2015,ON HOLD
32,5/12/2015,5/6/2015,ON HOLD
33,5/12/2015,5/6/2015,ON HOLD
34,5/12/2015,5/6/2015,ON HOLD
35,5/12/2015,5/6/2015,CLOSED
36,5/15/2015,5/6/2015,CLOSED
37,5/12/2015,5/6/2015,ON HOLD
38,5/18/2015,5/6/2015,CLOSED
39,5/18/2015,5/6/2015,CLOSED
40,5/12/2015,5/6/2015,CLOSED
41,5/12/2015,5/6/2015,ON HOLD
42,,5/6/2015,CLOSED
43,5/12/2015,5/6/2015,ON HOLD
44,5/12/2015,5/6/2015,ON HOLD
45,5/12/2015,5/6/2015,ON HOLD
46,,5/6/2015,CLOSED
47,5/12/2015,5/6/2015,ON HOLD
48,5/18/2015,5/6/2015,CLOSED
49,5/12/2015,5/6/2015,ON HOLD
50,5/11/2015,5/6/2015,CLOSED
51,5/11/2015,5/6/2015,CLOSED
52,5/12/2015,5/6/2015,ON HOLD
53,5/18/2015,5/6/2015,CLOSED
54,5/14/2015,5/6/2015,CLOSED
55,5/11/2015,5/6/2015,CLOSED
56,5/18/2015,5/6/2015,CLOSED
57,5/11/2015,5/6/2015,CLOSED
58,5/11/2015,5/6/2015,CLOSED
59,5/11/2015,5/6/2015,CLOSED
60,5/11/2015,5/6/2015,CLOSED
61,5/11/2015,5/6/2015,CLOSED
62,5/11/2015,5/6/2015,CLOSED
63,5/11/2015,5/6/2015,CLOSED
64,5/11/2015,5/6/2015,CLOSED
65,5/12/2015,5/6/2015,ON HOLD
66,5/18/2015,5/6/2015,CLOSED
67,5/12/2015,5/6/2015,ON HOLD
68,5/11/2015,5/6/2015,ON HOLD
69,5/11/2015,5/6/2015,CLOSED
