,Actioned Date,Assigned Date,Status
0,5/20/2015,5/6/2015,CLOSED
1,5/20/2015,5/6/2015,CLOSED
2,5/20/2015,5/6/2015,CLOSED
3,5/21/2015,5/6/2015,CLOSED
4,5/21/2015,5/6/2015,CLOSED
5,5/21/2015,5/6/2015,CLOSED
6,5/15/2015,5/6/2015,CLOSED
7,5/20/2015,5/6/2015,CLOSED
8,5/20/2015,5/6/2015,CLOSED
9,5/20/2015,5/6/2015,CLOSED
10,5/20/2015,5/6/2015,CLOSED
11,5/20/2015,5/6/2015,CLOSED
12,5/20/2015,5/6/2015,CLOSED
13,5/13/2015,5/6/2015,CLOSED
14,5/20/2015,5/6/2015,CLOSED
15,5/20/2015,5/6/2015,CLOSED
16,6/2/2015,5/6/2015,CLOSED
17,5/11/2015,5/6/2015,REPEATED
18,5/15/2015,5/6/2015,CLOSED
19,5/11/2015,5/6/2015,REPEATED
20,5/20/2015,5/6/2015,CLOSED
21,6/2/2015,5/6/2015,CLOSED
22,5/11/2015,5/6/2015,CLOSED
23,5/20/2015,5/6/2015,CLOSED
24,5/20/2015,5/6/2015,CLOSED
25,5/21/2015,5/6/2015,CLOSED
26,5/20/2015,5/6/2015,CLOSED
27,5/20/2015,5/6/2015,CLOSED
28,5/20/2015,5/6/2015,CLOSED
29,5/20/2015,5/6/2015,CLOSED
30,5/25/2015,5/6/2015,CLOSED
31,6/2/2015,5/6/2015,PENDING WITH CATALOGUE ISSUE
32,5/21/2015,5/6/2015,CLOSED
33,5/21/2015,5/6/2015,CLOSED
34,5/25/2015,5/6/2015,CLOSED
35,5/25/2015,5/6/2015,CLOSED
36,5/18/2015,5/6/2015,CLOSED
37,5/20/2015,5/6/2015,CLOSED
38,5/20/2015,5/6/2015,CLOSED
39,5/25/2015,5/6/2015,CLOSED
40,5/25/2015,5/6/2015,CLOSED
41,5/18/2015,5/6/2015,CLOSED
42,6/3/2015,5/6/2015,CLOSED
43,5/18/2015,5/6/2015,CLOSED
44,5/20/2015,5/6/2015,CLOSED
45,5/25/2015,5/6/2015,CLOSED
46,5/20/2015,5/6/2015,CLOSED
47,6/3/2015,5/6/2015,CLOSED
48,5/21/2015,5/6/2015,CLOSED
49,5/11/2015,5/6/2015,CLOSED
50,5/25/2015,5/6/2015,CLOSED
51,5/25/2015,5/6/2015,CLOSED
52,6/3/2015,5/6/2015,CLOSED
53,5/20/2015,5/6/2015,CLOSED
54,5/29/2015,5/6/2015,CLOSED
55,5/25/2015,5/6/2015,CLOSED
56,5/29/2015,5/6/2015,CLOSED
57,5/20/2015,5/6/2015,CLOSED
58,5/29/2015,5/6/2015,CLOSED
59,5/21/2015,5/6/2015,CLOSED
60,5/21/2015,5/6/2015,CLOSED
61,5/20/2015,5/6/2015,CLOSED
62,6/3/2015,5/6/2015,CLOSED
63,5/29/2015,5/6/2015,CLOSED
64,5/29/2015,5/6/2015,CLOSED
65,5/18/2015,5/6/2015,CLOSED
66,5/20/2015,5/6/2015,CLOSED
67,6/3/2015,5/6/2015,CLOSED
68,5/28/2015,5/6/2015,CLOSED
69,5/29/2015,5/6/2015,CLOSED
70,5/29/2015,5/6/2015,CLOSED
71,5/15/2015,5/6/2015,CLOSED
72,5/29/2015,5/6/2015,CLOSED
73,5/20/2015,5/6/2015,CLOSED
74,5/20/2015,5/6/2015,CLOSED
75,5/14/2015,5/5/2015,REPEATED
76,5/11/2015,5/5/2015,REPEATED
77,5/21/2015,5/5/2015,CLOSED
78,5/11/2015,5/5/2015,REPEATED 
79,5/21/2015,5/5/2015,CLOSED
80,5/15/2015,5/5/2015,REPEATED 
81,5/21/2015,5/6/2015,CLOSED
82,5/11/2015,5/6/2015,CLOSED
83,5/11/2015,5/6/2015,CLOSED
84,6/3/2015,5/6/2015,CLOSED
85,5/29/2015,5/6/2015,CLOSED
86,5/29/2015,5/6/2015,CLOSED
87,5/29/2015,5/6/2015,CLOSED
88,5/11/2015,5/6/2015,CLOSED
89,5/11/2015,5/6/2015,CLOSED
90,5/29/2015,5/6/2015,CLOSED
91,5/25/2015,5/6/2015,CLOSED
92,5/11/2015,5/6/2015,PENDING WITH SELLER
93,5/26/2015,5/6/2015,CLOSED
94,5/18/2015,5/6/2015,CLOSED
95,5/18/2015,5/6/2015,CLOSED
96,5/11/2015,5/6/2015,PENDING WITH SELLER
97,5/11/2015,5/6/2015,PENDING WITH SELLER
98,5/25/2015,5/6/2015,CLOSED
99,5/25/2015,5/6/2015,CLOSED
100,5/25/2015,5/6/2015,CLOSED
101,5/11/2015,5/6/2015,CLOSED
102,5/26/2015,5/6/2015,CLOSED
103,5/26/2015,5/6/2015,CLOSED
104,6/8/2015,5/6/2015,CLOSED
105,6/8/2015,5/6/2015,CLOSED
106,6/8/2015,5/6/2015,CLOSED
107,6/8/2015,5/6/2015,CLOSED
108,6/8/2015,5/6/2015,CLOSED
109,5/26/2015,5/6/2015,CLOSED
110,5/26/2015,5/6/2015,CLOSED
111,5/26/2015,5/6/2015,CLOSED
112,5/26/2015,5/6/2015,CLOSED
113,5/11/2015,5/6/2015,PENDING WITH SELLER
114,5/15/2015,5/6/2015,CLOSED
115,6/8/2015,5/6/2015,CLOSED
116,5/12/2015,5/6/2015,CLOSED
117,5/12/2015,5/6/2015,CLOSED
118,5/12/2015,5/6/2015,CLOSED
119,5/12/2015,5/6/2015,CLOSED
120,5/12/2015,5/6/2015,CLOSED
121,5/12/2015,5/6/2015,CLOSED
122,5/12/2015,5/6/2015,CLOSED
123,5/12/2015,5/6/2015,CLOSED
124,5/12/2015,5/6/2015,CLOSED
125,5/12/2015,5/6/2015,CLOSED
126,5/12/2015,5/6/2015,CLOSED
127,5/12/2015,5/6/2015,CLOSED
128,5/12/2015,5/6/2015,CLOSED
129,5/12/2015,5/6/2015,CLOSED
130,5/12/2015,5/6/2015,PENDING WITH SELLER
131,5/12/2015,5/6/2015,PENDING WITH SELLER
132,5/12/2015,5/6/2015,PENDING WITH SELLER
133,5/14/2015,5/7/2015,PENDING WITH SELLER
134,5/12/2015,5/7/2015,PENDING WITH SELLER
135,5/12/2015,5/7/2015,PENDING WITH SELLER
136,5/20/2015,5/7/2015,CLOSED
137,5/20/2015,5/7/2015,CLOSED
138,5/20/2015,5/7/2015,CLOSED
139,5/20/2015,5/7/2015,CLOSED
140,6/8/2015,5/7/2015,CLOSED
141,6/8/2015,5/7/2015,CLOSED
142,5/12/2015,5/7/2015,CLOSED
143,5/12/2015,5/7/2015,CLOSED
144,5/21/2015,5/7/2015,CLOSED
145,5/21/2015,5/7/2015,CLOSED
146,6/8/2015,5/7/2015,CLOSED
147,5/13/2015,5/7/2015,CLOSED
148,5/12/2015,5/7/2015,CLOSED
149,5/12/2015,5/7/2015,CLOSED
150,5/12/2015,5/7/2015,CLOSED
151,5/12/2015,5/7/2015,PENDING WITH SELLER
152,5/20/2015,5/7/2015,CLOSED
153,5/20/2015,5/7/2015,CLOSED
154,5/20/2015,5/7/2015,CLOSED
155,5/20/2015,5/7/2015,CLOSED
156,6/8/2015,5/7/2015,CLOSED
157,6/8/2015,5/7/2015,CLOSED
158,5/19/2015,5/8/2015,CLOSED
159,5/14/2015,5/8/2015,PENDING WITH BD
160,5/12/2015,5/8/2015,PENDING WITH BD
161,5/12/2015,5/8/2015,PENDING WITH BD
162,5/12/2015,5/8/2015,PENDING WITH BD
163,5/12/2015,5/8/2015,PENDING WITH BD
164,5/12/2015,5/8/2015,PENDING WITH BD
165,5/12/2015,5/8/2015,PENDING WITH BD
166,5/12/2015,5/8/2015,PENDING WITH BD
167,5/12/2015,5/8/2015,PENDING WITH BD
168,5/12/2015,5/8/2015,PENDING WITH BD
169,5/12/2015,5/8/2015,PENDING WITH BD
170,5/12/2015,5/8/2015,PENDING WITH BD
171,5/12/2015,5/8/2015,PENDING WITH BD
172,5/12/2015,5/8/2015,PENDING WITH BD
173,5/12/2015,5/8/2015,PENDING WITH BD
174,5/12/2015,5/8/2015,PENDING WITH BD
175,5/25/2015,5/8/2015,CLOSED
176,5/26/2015,5/8/2015,CLOSED
177,5/20/2015,5/8/2015,CLOSED
178,5/25/2015,5/8/2015,CLOSED
179,5/18/2015,5/8/2015,CLOSED
180,5/25/2015,5/8/2015,CLOSED
181,5/25/2015,5/8/2015,CLOSED
182,5/12/2015,5/8/2015,CLOSED
183,5/14/2015,5/8/2015,CLOSED
184,5/12/2015,5/8/2015,PENDING WITH SELLER
185,5/14/2015,5/8/2015,CLOSED
186,6/3/2015,5/8/2015,CLOSED
187,6/3/2015,5/8/2015,CLOSED
188,6/3/2015,5/8/2015,CLOSED
189,6/3/2015,5/8/2015,CLOSED
190,6/3/2015,5/8/2015,CLOSED
191,6/3/2015,5/8/2015,CLOSED
192,6/3/2015,5/8/2015,CLOSED
193,6/3/2015,5/8/2015,CLOSED
194,5/12/2015,5/8/2015,PENDING WITH SELLER
195,5/12/2015,5/8/2015,CLOSED
196,5/14/2015,5/8/2015,CLOSED
197,5/14/2015,5/8/2015,CLOSED
