,Actioned Date,Assigned Date,Status
0,,6/1/2015,
1,,6/1/2015,
2,,6/1/2015,
3,,6/2/2015,
4,,6/2/2015,
5,,6/2/2015,
6,,6/3/2015,
7,,6/3/2015,
8,,6/3/2015,
9,,6/3/2015,
10,,6/3/2015,
11,,6/3/2015,
12,,6/3/2015,
13,,6/3/2015,
14,,6/3/2015,
15,,6/3/2015,
16,,6/3/2015,
17,,6/3/2015,
18,,6/3/2015,
19,,6/3/2015,
20,,6/3/2015,
21,,6/4/2015,
22,,6/4/2015,
23,6/8/2015,6/4/2015,CLOSED
24,6/8/2015,6/4/2015,CLOSED
25,,6/4/2015,
26,,6/4/2015,
27,,6/4/2015,
28,,6/4/2015,
29,,6/4/2015,
30,,6/4/2015,
31,,6/4/2015,
32,,6/4/2015,
33,6/8/2015,6/5/2015,CLOSED
34,,6/5/2015,
35,,6/5/2015,
36,6/8/2015,6/5/2015,CLOSED
37,,6/5/2015,
38,6/8/2015,6/8/2015,CLOSED
39,,6/8/2015,
40,6/8/2015,6/8/2015,CLOSED
41,,6/8/2015,
42,,6/8/2015,
43,,6/8/2015,
44,,6/8/2015,
45,,6/8/2015,
46,,6/8/2015,
47,,6/8/2015,
48,,6/9/2015,
