,PD,RPD
ACNE4BB87GNKZ4FQ,False,True
ACNE4BB8BYZD2HZ3,False,True
ACNE4BB8J5APUYFV,False,True
ACNE4BB8WFB9JRMM,False,True
ACNE4BB8WPSZUWPU,False,True
CAME747PNEUYMSHT,False,True
COME66YMMGUFHYFT,False,True
MOBE8AHAT4SFH3PJ,False,False
MPCE8F7Z2BQQHHZC,False,True
PWBE4J6SXX4CZ8NV,False,False
RFRE5SGW43DMZ3MG,False,True
RFRE5SGWU3FYUGHP,False,True
RFRE6K9SYSXZDBDY,False,True
STHDNYKQHEDDGXPQ,False,True
STHDNYKQKMDUHBUH,False,True
STHDNYKQVFC8APWZ,False,True
VAPDY68ZYMHYJZEY,False,True
WMNDYZYMGJ2JHRSZ,False,True
WMNDYZYMGRBZEBKS,False,True
WMNEFFGD4FKMSH5R,False,True
