Date,Employee ID,Status,Relaxation,Entered By,Comment,Approval,Rejection Comment
2015-01-01,56035,Working,0,Big Brother,\N,\N,\N
2015-01-01,55863,Working,0,Big Brother,\N,\N,\N
2015-01-01,61454,Working,0,Big Brother,\N,\N,\N
2015-01-01,61904,Working,0,Big Brother,\N,\N,\N
2015-01-01,73343,Working,0,Big Brother,\N,\N,\N
2015-01-01,73858,Working,0,Big Brother,\N,\N,\N
2015-01-01,61949,Working,0,Big Brother,\N,\N,\N
2015-01-01,73957,Working,0,Big Brother,\N,\N,\N
2015-01-01,74565,Working,0,Big Brother,\N,\N,\N
2015-01-01,74839,Working,0,Big Brother,\N,\N,\N
2015-01-01,75027,Working,0,Big Brother,\N,\N,\N
2015-01-01,75028,Working,0,Big Brother,\N,\N,\N
2015-01-01,75026,Working,0,Big Brother,\N,\N,\N
2015-01-01,76751,Working,0,Big Brother,\N,\N,\N
2015-01-01,76932,Working,0,Big Brother,\N,\N,\N
2015-01-01,76750,Working,0,Big Brother,\N,\N,\N
2015-01-01,62182,Working,0,Big Brother,\N,\N,\N
2015-01-01,62509,Working,0,Big Brother,\N,\N,\N
2015-01-01,62487,Working,0,Big Brother,\N,\N,\N
2015-01-01,60952,Working,0,Big Brother,\N,\N,\N
2015-01-01,60877,Working,0,Big Brother,\N,\N,\N
2015-01-01,72062,Working,0,Big Brother,\N,\N,\N
2015-01-01,72891,Working,0,Big Brother,\N,\N,\N
2015-01-01,72187,Working,0,Big Brother,\N,\N,\N
2015-01-01,77584,Working,0,Big Brother,\N,\N,\N
2015-01-01,54660,Working,0,Big Brother,\N,\N,\N
2015-01-01,21031,Working,0,Big Brother,\N,\N,\N
2015-01-01,75802,Working,0,Big Brother,\N,\N,\N
2015-01-01,76749,Working,0,Big Brother,\N,\N,\N
2015-01-01,55502,Working,0,Big Brother,\N,\N,\N
2015-01-02,56035,Working,0,Big Brother,\N,\N,\N
2015-01-02,55863,Working,0,Big Brother,\N,\N,\N
2015-01-02,61454,Working,0,Big Brother,\N,\N,\N
2015-01-02,61904,Working,0,Big Brother,\N,\N,\N
2015-01-02,73343,Working,0,Big Brother,\N,\N,\N
2015-01-02,73858,Working,0,Big Brother,\N,\N,\N
2015-01-02,61949,Working,0,Big Brother,\N,\N,\N
2015-01-02,73957,Working,0,Big Brother,\N,\N,\N
2015-01-02,74565,Working,0,Big Brother,\N,\N,\N
2015-01-02,74839,Working,0,Big Brother,\N,\N,\N
2015-01-02,75027,Working,0,Big Brother,\N,\N,\N
2015-01-02,75028,Working,0,Big Brother,\N,\N,\N
2015-01-02,75026,Working,0,Big Brother,\N,\N,\N
2015-01-02,76751,Working,0,Big Brother,\N,\N,\N
2015-01-02,76932,Working,0,Big Brother,\N,\N,\N
2015-01-02,76750,Working,0,Big Brother,\N,\N,\N
2015-01-02,62182,Working,0,Big Brother,\N,\N,\N
2015-01-02,62509,Working,0,Big Brother,\N,\N,\N
2015-01-02,62487,Working,0,Big Brother,\N,\N,\N
2015-01-02,60952,Working,0,Big Brother,\N,\N,\N
2015-01-02,60877,Working,0,Big Brother,\N,\N,\N
2015-01-02,72062,Working,0,Big Brother,\N,\N,\N
2015-01-02,72891,Working,0,Big Brother,\N,\N,\N
2015-01-02,72187,Working,0,Big Brother,\N,\N,\N
2015-01-02,77584,Working,0,Big Brother,\N,\N,\N
2015-01-02,54660,Working,0,Big Brother,\N,\N,\N
2015-01-02,21031,Working,0,Big Brother,\N,\N,\N
2015-01-02,75802,Working,0,Big Brother,\N,\N,\N
2015-01-02,76749,Working,0,Big Brother,\N,\N,\N
2015-01-02,55502,Working,0,Big Brother,\N,\N,\N
2015-01-05,56035,Working,0,Big Brother,\N,\N,\N
2015-01-05,55863,Working,0,Big Brother,\N,\N,\N
2015-01-05,61454,Working,0,Big Brother,\N,\N,\N
2015-01-05,61904,Working,0,Big Brother,\N,\N,\N
2015-01-05,73343,Working,0,Big Brother,\N,\N,\N
2015-01-05,73858,Working,0,Big Brother,\N,\N,\N
2015-01-05,61949,Working,0,Big Brother,\N,\N,\N
2015-01-05,73957,Working,0,Big Brother,\N,\N,\N
2015-01-05,74565,Working,0,Big Brother,\N,\N,\N
2015-01-05,74839,Working,0,Big Brother,\N,\N,\N
2015-01-05,75027,Working,0,Big Brother,\N,\N,\N
2015-01-05,75028,Working,0,Big Brother,\N,\N,\N
2015-01-05,75026,Working,0,Big Brother,\N,\N,\N
2015-01-05,76751,Working,0,Big Brother,\N,\N,\N
2015-01-05,76932,Working,0,Big Brother,\N,\N,\N
2015-01-05,76750,Working,0,Big Brother,\N,\N,\N
2015-01-05,62182,Working,0,Big Brother,\N,\N,\N
2015-01-05,62509,Working,0,Big Brother,\N,\N,\N
2015-01-05,62487,Working,0,Big Brother,\N,\N,\N
2015-01-05,60952,Working,0,Big Brother,\N,\N,\N
2015-01-05,60877,Working,0,Big Brother,\N,\N,\N
2015-01-05,72062,Working,0,Big Brother,\N,\N,\N
2015-01-05,72891,Working,0,Big Brother,\N,\N,\N
2015-01-05,72187,Working,0,Big Brother,\N,\N,\N
2015-01-05,77584,Working,0,Big Brother,\N,\N,\N
2015-01-05,54660,Working,0,Big Brother,\N,\N,\N
2015-01-05,21031,Working,0,Big Brother,\N,\N,\N
2015-01-05,75802,Working,0,Big Brother,\N,\N,\N
2015-01-05,76749,Working,0,Big Brother,\N,\N,\N
2015-01-05,55502,Working,0,Big Brother,\N,\N,\N
2015-01-06,56035,Working,0,Big Brother,\N,\N,\N
2015-01-06,55863,Working,0,Big Brother,\N,\N,\N
2015-01-06,61454,Working,0,Big Brother,\N,\N,\N
2015-01-06,61904,Working,0,Big Brother,\N,\N,\N
2015-01-06,73343,Working,0,Big Brother,\N,\N,\N
2015-01-06,73858,Working,0,Big Brother,\N,\N,\N
2015-01-06,61949,Working,0,Big Brother,\N,\N,\N
2015-01-06,73957,Working,0,Big Brother,\N,\N,\N
2015-01-06,74565,Working,0,Big Brother,\N,\N,\N
2015-01-06,74839,Working,0,Big Brother,\N,\N,\N
2015-01-06,75027,Working,0,Big Brother,\N,\N,\N
2015-01-06,75028,Working,0,Big Brother,\N,\N,\N
2015-01-06,75026,Working,0,Big Brother,\N,\N,\N
2015-01-06,76751,Working,0,Big Brother,\N,\N,\N
2015-01-06,76932,Working,0,Big Brother,\N,\N,\N
2015-01-06,76750,Working,0,Big Brother,\N,\N,\N
2015-01-06,62182,Working,0,Big Brother,\N,\N,\N
2015-01-06,62509,Working,0,Big Brother,\N,\N,\N
2015-01-06,62487,Working,0,Big Brother,\N,\N,\N
2015-01-06,60952,Working,0,Big Brother,\N,\N,\N
2015-01-06,60877,Working,0,Big Brother,\N,\N,\N
2015-01-06,72062,Working,0,Big Brother,\N,\N,\N
2015-01-06,72891,Working,0,Big Brother,\N,\N,\N
2015-01-06,72187,Working,0,Big Brother,\N,\N,\N
2015-01-06,77584,Working,0,Big Brother,\N,\N,\N
2015-01-06,54660,Working,0,Big Brother,\N,\N,\N
2015-01-06,21031,Working,0,Big Brother,\N,\N,\N
2015-01-06,75802,Working,0,Big Brother,\N,\N,\N
2015-01-06,76749,Working,0,Big Brother,\N,\N,\N
2015-01-06,55502,Working,0,Big Brother,\N,\N,\N
2015-01-07,56035,Working,0,Big Brother,\N,\N,\N
2015-01-07,55863,Working,0,Big Brother,\N,\N,\N
2015-01-07,61454,Working,0,Big Brother,\N,\N,\N
2015-01-07,61904,Working,0,Big Brother,\N,\N,\N
2015-01-07,73343,Working,0,Big Brother,\N,\N,\N
2015-01-07,73858,Working,0,Big Brother,\N,\N,\N
2015-01-07,61949,Working,0,Big Brother,\N,\N,\N
2015-01-07,73957,Working,0,Big Brother,\N,\N,\N
2015-01-07,74565,Working,0,Big Brother,\N,\N,\N
2015-01-07,74839,Working,0,Big Brother,\N,\N,\N
2015-01-07,75027,Working,0,Big Brother,\N,\N,\N
2015-01-07,75028,Working,0,Big Brother,\N,\N,\N
2015-01-07,75026,Working,0,Big Brother,\N,\N,\N
2015-01-07,76751,Working,0,Big Brother,\N,\N,\N
2015-01-07,76932,Working,0,Big Brother,\N,\N,\N
2015-01-07,76750,Working,0,Big Brother,\N,\N,\N
2015-01-07,62182,Working,0,Big Brother,\N,\N,\N
2015-01-07,62509,Working,0,Big Brother,\N,\N,\N
2015-01-07,62487,Working,0,Big Brother,\N,\N,\N
2015-01-07,60952,Working,0,Big Brother,\N,\N,\N
2015-01-07,60877,Working,0,Big Brother,\N,\N,\N
2015-01-07,72062,Working,0,Big Brother,\N,\N,\N
2015-01-07,72891,Working,0,Big Brother,\N,\N,\N
2015-01-07,72187,Working,0,Big Brother,\N,\N,\N
2015-01-07,77584,Working,0,Big Brother,\N,\N,\N
2015-01-07,54660,Working,0,Big Brother,\N,\N,\N
2015-01-07,21031,Working,0,Big Brother,\N,\N,\N
2015-01-07,75802,Working,0,Big Brother,\N,\N,\N
2015-01-07,76749,Working,0,Big Brother,\N,\N,\N
2015-01-07,55502,Working,0,Big Brother,\N,\N,\N
2015-01-08,56035,Working,0,Big Brother,\N,\N,\N
2015-01-08,55863,Working,0,Big Brother,\N,\N,\N
2015-01-08,61454,Working,0,Big Brother,\N,\N,\N
2015-01-08,61904,Working,0,Big Brother,\N,\N,\N
2015-01-08,73343,Working,0,Big Brother,\N,\N,\N
2015-01-08,73858,Working,0,Big Brother,\N,\N,\N
2015-01-08,61949,Working,0,Big Brother,\N,\N,\N
2015-01-08,73957,Working,0,Big Brother,\N,\N,\N
2015-01-08,74565,Working,0,Big Brother,\N,\N,\N
2015-01-08,74839,Working,0,Big Brother,\N,\N,\N
2015-01-08,75027,Working,0,Big Brother,\N,\N,\N
2015-01-08,75028,Working,0,Big Brother,\N,\N,\N
2015-01-08,75026,Working,0,Big Brother,\N,\N,\N
2015-01-08,76751,Working,0,Big Brother,\N,\N,\N
2015-01-08,76932,Working,0,Big Brother,\N,\N,\N
2015-01-08,76750,Working,0,Big Brother,\N,\N,\N
2015-01-08,62182,Working,0,Big Brother,\N,\N,\N
2015-01-08,62509,Working,0,Big Brother,\N,\N,\N
2015-01-08,62487,Working,0,Big Brother,\N,\N,\N
2015-01-08,60952,Working,0,Big Brother,\N,\N,\N
2015-01-08,60877,Working,0,Big Brother,\N,\N,\N
2015-01-08,72062,Working,0,Big Brother,\N,\N,\N
2015-01-08,72891,Working,0,Big Brother,\N,\N,\N
2015-01-08,72187,Working,0,Big Brother,\N,\N,\N
2015-01-08,77584,Working,0,Big Brother,\N,\N,\N
2015-01-08,54660,Working,0,Big Brother,\N,\N,\N
2015-01-08,21031,Working,0,Big Brother,\N,\N,\N
2015-01-08,75802,Working,0,Big Brother,\N,\N,\N
2015-01-08,76749,Working,0,Big Brother,\N,\N,\N
2015-01-08,55502,Working,0,Big Brother,\N,\N,\N
2015-01-09,56035,Working,0,Big Brother,\N,\N,\N
2015-01-09,55863,Working,0,Big Brother,\N,\N,\N
2015-01-09,61454,Working,0,Big Brother,\N,\N,\N
2015-01-09,61904,Working,0,Big Brother,\N,\N,\N
2015-01-09,73343,Working,0,Big Brother,\N,\N,\N
2015-01-09,73858,Working,0,Big Brother,\N,\N,\N
2015-01-09,61949,Working,0,Big Brother,\N,\N,\N
2015-01-09,73957,Working,0,Big Brother,\N,\N,\N
2015-01-09,74565,Working,0,Big Brother,\N,\N,\N
2015-01-09,74839,Working,0,Big Brother,\N,\N,\N
2015-01-09,75027,Working,0,Big Brother,\N,\N,\N
2015-01-09,75028,Working,0,Big Brother,\N,\N,\N
2015-01-09,75026,Working,0,Big Brother,\N,\N,\N
2015-01-09,76751,Working,0,Big Brother,\N,\N,\N
2015-01-09,76932,Working,0,Big Brother,\N,\N,\N
2015-01-09,76750,Working,0,Big Brother,\N,\N,\N
2015-01-09,62182,Working,0,Big Brother,\N,\N,\N
2015-01-09,62509,Working,0,Big Brother,\N,\N,\N
2015-01-09,62487,Working,0,Big Brother,\N,\N,\N
2015-01-09,60952,Working,0,Big Brother,\N,\N,\N
2015-01-09,60877,Working,0,Big Brother,\N,\N,\N
2015-01-09,72062,Working,0,Big Brother,\N,\N,\N
2015-01-09,72891,Working,0,Big Brother,\N,\N,\N
2015-01-09,72187,Working,0,Big Brother,\N,\N,\N
2015-01-09,77584,Working,0,Big Brother,\N,\N,\N
2015-01-09,54660,Working,0,Big Brother,\N,\N,\N
2015-01-09,21031,Working,0,Big Brother,\N,\N,\N
2015-01-09,75802,Working,0,Big Brother,\N,\N,\N
2015-01-09,76749,Working,0,Big Brother,\N,\N,\N
